Type,Variable,Description,Abbreviation,PolicyObjective,IssueCategory,Units,RawPolarity,RAW Processing Script,Data available?,Calculation required,RawFileExists,Normalization,Transformation,Alpha,Target_Good,Target_Bad,Materiality,Babs,Btrend,CurrentStartYr,CurrentEndYr,OldStartYr,OldEndYr,CountryCoverage,RawStartYr,RawEndYr,Index,SummaryPDF,Source,Notes
Stop,PM2.5 exceedance,Exposure to levels of PM2.5 that exceed WHO limits of 10 and 35,PMY,Health,AirQuality,%,negative,~EPI2018/Work/Source/CIESIN-PM25/PME_raw.R,yes,(PM1+PM4)/2,yes,none,,,,,,,,,,,,229,,,0,0,YCELP,
Stop,Household air pollution from solid fuels,Percent of households using solid fuels,HAP,Health,AirQuality,%,negative,~EPI2018/Work/Source/IHME-HAP/HAP_raw.R,yes,none,yes,none,log,,0,100,,,,,,,,195,1990,2015,0,0,IHME-GBD,https://cloud.ihme.washington.edu/index.php/s/2RoNXHTL7ZQn9zH#pdfviewer
Stop,Unsafe sanitation ,Proportion of population exposed to risks due to unsafe sanitation,USN,Health,WaterQuality,%,negative,~EPI2018/Work/Source/IHME-Sanitation/USN_raw.R,yes,USI+USU,yes,none,none,,0,99%,,,,,,,,195,,,0,0,YCELP,
Stop,Unsafe water exposure,Proportion of population exposed to risks due to unsafe water source,UWS,Health,WaterQuality,%,negative,~EPI2018/Work/Source/IHME-Water/UWS_raw.R,yes,UWC + UWF + UWH + UWI + UWL + UWN + UWP + UWR + UWT + UWU,yes,none,log,,0,99%,,,,,,,,195,,,0,0,YCELP,
Stop,Unsafe sanitation ,Unsafe sanitation improved - Proportion of households that use improved sanitation facilities except those with sewer connection.,USI,Health,WaterQuality,%,negative,~EPI2018/Work/Source/IHME-Sanitation/USN_raw.R,yes,none,yes,none,,,,,,,,,,,,195,,,0,0,IHME-GBD,https://cloud.ihme.washington.edu/index.php/s/2RoNXHTL7ZQn9zH#pdfviewer
Stop,Unsafe sanitation ,Unsafe sanitation unimproved - Proportion of households that use unimproved sanitation facilities. ,USU,Health,WaterQuality,%,negative,~EPI2018/Work/Source/IHME-Sanitation/USN_raw.R,yes,none,yes,none,,,,,,,,,,,,195,,,0,0,IHME-GBD,https://cloud.ihme.washington.edu/index.php/s/2RoNXHTL7ZQn9zH#pdfviewer
Stop,Unsafe water exposure,Unsafe water exposure: improved & chlorinated,UWC,Health,WaterQuality,%,negative,~EPI2018/Work/Source/IHME-Water/UWS_raw.R,yes,none,yes,none,,,,,,,,,,,,195,,,0,0,IHME-GBD,https://cloud.ihme.washington.edu/index.php/s/2RoNXHTL7ZQn9zH#pdfviewer
Stop,Unsafe water exposure,Unsafe water exposure: improved & filtered,UWF,Health,WaterQuality,%,negative,~EPI2018/Work/Source/IHME-Water/UWS_raw.R,yes,none,yes,none,,,,,,,,,,,,195,,,0,0,IHME-GBD,https://cloud.ihme.washington.edu/index.php/s/2RoNXHTL7ZQn9zH#pdfviewer
Stop,Unsafe water exposure,Unsafe water exposure: high quality piped & chlorinated,UWH,Health,WaterQuality,%,negative,~EPI2018/Work/Source/IHME-Water/UWS_raw.R,yes,none,yes,none,,,,,,,,,,,,195,,,0,0,IHME-GBD,https://cloud.ihme.washington.edu/index.php/s/2RoNXHTL7ZQn9zH#pdfviewer
Stop,Unsafe water exposure,Unsafe water exposure: improved & untreated,UWI,Health,WaterQuality,%,negative,~EPI2018/Work/Source/IHME-Water/UWS_raw.R,yes,none,yes,none,,,,,,,,,,,,195,,,0,0,IHME-GBD,https://cloud.ihme.washington.edu/index.php/s/2RoNXHTL7ZQn9zH#pdfviewer
Stop,Unsafe water exposure,Unsafe water exposure: unimproved & filtered,UWL,Health,WaterQuality,%,negative,~EPI2018/Work/Source/IHME-Water/UWS_raw.R,yes,none,yes,none,,,,,,,,,,,,195,,,0,0,IHME-GBD,https://cloud.ihme.washington.edu/index.php/s/2RoNXHTL7ZQn9zH#pdfviewer
Stop,Unsafe water exposure,Unsafe water exposure: high quality piped & untreated,UWN,Health,WaterQuality,%,negative,~EPI2018/Work/Source/IHME-Water/UWS_raw.R,yes,none,yes,none,,,,,,,,,,,,195,,,0,0,IHME-GBD,https://cloud.ihme.washington.edu/index.php/s/2RoNXHTL7ZQn9zH#pdfviewer
Stop,Unsafe water exposure,Unsafe water exposure: piped & chlorinated,UWP,Health,WaterQuality,%,negative,~EPI2018/Work/Source/IHME-Water/UWS_raw.R,yes,none,yes,none,,,,,,,,,,,,195,,,0,0,IHME-GBD,https://cloud.ihme.washington.edu/index.php/s/2RoNXHTL7ZQn9zH#pdfviewer
Stop,Unsafe water exposure,Unsafe water exposure: unimproved & untreated,UWR,Health,WaterQuality,%,negative,~EPI2018/Work/Source/IHME-Water/UWS_raw.R,yes,none,yes,none,,,,,,,,,,,,195,,,0,0,IHME-GBD,https://cloud.ihme.washington.edu/index.php/s/2RoNXHTL7ZQn9zH#pdfviewer
Stop,Unsafe water exposure,Unsafe water exposure: piped & untreated,UWT,Health,WaterQuality,%,negative,~EPI2018/Work/Source/IHME-Water/UWS_raw.R,yes,none,yes,none,,,,,,,,,,,,195,,,0,0,IHME-GBD,https://cloud.ihme.washington.edu/index.php/s/2RoNXHTL7ZQn9zH#pdfviewer
Stop,Unsafe water exposure,Unsafe water exposure: unimproved & chlorinated,UWU,Health,WaterQuality,%,negative,~EPI2018/Work/Source/IHME-Water/UWS_raw.R,yes,none,yes,none,,,,,,,,,,,,195,,,0,0,IHME-GBD,https://cloud.ihme.washington.edu/index.php/s/2RoNXHTL7ZQn9zH#pdfviewer
Stop,Lead Exposure,Proportion of population exposed to lead,PBX,Health,HeavyMetals,%,negative,~EPI2018/Work/Source/IHME-Pb/PBX_raw.R,yes,none,yes,none,log,,0,99%,,,,,,,,195,1970,2016,0,0,IHME-GBD,
Stop,Tree cover loss in intact forest landscapes,Five-year moving-average of percent tree cover loss within Intact Forest Landscapes,IFL,Ecosystem,Forestry,%,negative,~EPI2018/Work/Source/GFW/TCL_raw.R,yes,divisions,yes,none,,,,,,,,,,,,64,,,0,0,GFW,
Stop,Tree cover loss in intact forest landscapes,Three-year moving-average of percent tree cover loss within a country,TC3,Ecosystem,Forestry,%,negative,~EPI2018/Work/Source/GFW/TCL_raw.R,yes,divisions,yes,none,,,,,,,,,,,,210,,,0,0,GFW,
Stop,Tree cover loss in intact forest landscapes,Annual % of tree cover loss occuring within IFLs,TCI,Ecosystem,Forestry,%,negative,~EPI2018/Work/Source/GFW/TCL_raw.R,yes,divisions,yes,none,,,,,,,,,,,,64,,,0,0,GFW,
Stop,Tree cover loss in intact forest landscapes,Annual % of tree cover loss occuring within PAs,TCP,Ecosystem,Forestry,%,negative,~EPI2018/Work/Source/GFW/TCL_raw.R,yes,divisions,yes,none,,,,,,,,,,,,196,,,0,0,GFW,
Stop,NMVOC_bio emissions,Emissions of Volatile Organic Compounds from biomass burning,VCB,Ecosystem,AirPollution,Gg,negative,~EPI2018/Work/Source/EDGAR/EDGAR_raw.R,yes,none,yes,none,,,,,,,,,,,,209,,,0,0,EDGAR,http://edgar.jrc.ec.europa.eu/overview.php?v=431
Stop,NMVOC_fossil emissions,Emissions of Volatile Organic Compounds from fossil fuels,VCF,Ecosystem,AirPollution,Gg,negative,~EPI2018/Work/Source/EDGAR/EDGAR_raw.R,yes,none,yes,none,,,,,,,,,,,,216,,,0,0,EDGAR,http://edgar.jrc.ec.europa.eu/overview.php?v=431
Stop,Age-standarized Disability-Adjusted Life Years,Age-standarized Disability-Adjusted Life Years,ADY,Health,,Life-years,,~EPI2018/Work/Source/IHME-DALY/DLY_exploration.R,yes,none,no,none,,,,,,,,,,,,,,,0,0,IHME-GBD,
Stop,Smoothed GDP,Smoothed GDP over period 2000_2015,SDP,,,US$2011,,,yes,Exp(predictions(LGP~t)),no,none,none,,,,,,,,,,,198,1997,2016,0,0,YCELP,
Stop,Protected Areas Representativeness Index _ Vertebrates,Protected Areas Representativeness Index _ Vertebrates,PRV,Ecosystem,Biodiversity,unitless,positive,,no,none,no,none,,,,,,,,,,,,,,,0,0,CSIRO,
Stop,Protected Areas Representativeness Index _ Invertebrates,Protected Areas Representativeness Index _ Invertebrates,PRI,Ecosystem,Biodiversity,unitless,positive,,no,none,no,none,,,,,,,,,,,,,,,0,0,CSIRO,
Stop,Protected Areas Representativeness Index _ Plants,Protected Areas Representativeness Index _ Plants,PRP,Ecosystem,Biodiversity,unitless,positive,,no,none,no,none,,,,,,,,,,,,,,,0,0,CSIRO,
Stop,Sea Around Us Uncertainty,Uncertainty score for Sea Around Us data,SUC,Ecosystem,Fisheries,unitless,,~EPI2018/Work/Source/SAU/SAU_raw.R,yes,from EEZs,yes,none,none,,,,,,,,,,,133,1950,2014,0,0,SAU,
